"Hash","Datum i vreme","Autor","Poruka komita"
"170ccb7","2026-02-22 23:30","DESKTOP-4N736AQ\soxda","Fixing issue with missing inspection type in PDF report"
"b48a833","2026-02-22 23:12","DESKTOP-4N736AQ\soxda","Removed lab groups components from second step:     'MIKROBIOLOGISCH',     'LUFTKEIMZAHLMESSUNG',     'UMLAUFWASSERUNTERSUCHUNG',"
"16fcb17","2026-02-22 18:31","DESKTOP-4N736AQ\soxda","Fix - when there are no images in inspection Sync to S3 throws error."
"fd25cce","2026-02-22 18:28","DESKTOP-4N736AQ\soxda","Dugme za download PDF-a"
"a43911a","2026-02-22 18:13","DESKTOP-4N736AQ\soxda","Deleting images from S3. Adding logic to loggout user when API returns 401. Updating DB, and adding logic for image removal from S3 when PDF creation is activated and when images get sync with S3."
"f20ea38","2026-02-22 10:35","DESKTOP-4N736AQ\soxda","- SQLite Backup on S3 transferred to private bucket - Fixing error with the statuses, because if the inspection is copied, it inherits the finished status"
"36fdbe7","2026-02-16 18:09","DESKTOP-4N736AQ\soxda","Upgrade saving and getting database backup from private S3 bucket instead of public like before."
"20bf299","2026-02-15 23:59","DESKTOP-4N736AQ\soxda","Fixing DB initialization - initializeApp function. Fixing Inspection Statuses"
"348bc41","2026-02-04 22:28","DESKTOP-4N736AQ\soxda","Fixing package issues"
"3150efd","2026-02-01 11:26","JovanStefanovic87","DEV_AC_ADMIN_URL returned to localhost"
"15087a0","2026-02-01 11:24","JovanStefanovic87","Login bug fix / qustions style fix / airVolume post fix"
"45de81c","2026-02-01 09:27","JovanStefanovic87","bug after merge fix"
"db899df","2026-01-31 09:08","JovanStefanovic87","Merge branch 'develop' into UpgradeCamera"
"20e4b58","2026-01-29 22:21","DESKTOP-4N736AQ\soxda","Adding dev tools for user to backup DB"
"38698dd","2026-01-29 22:08","DESKTOP-4N736AQ\soxda","Fixing delete of general element photos in step 4"
"b37fda4","2026-01-29 19:06","DESKTOP-4N736AQ\soxda","Database backup and restore"
"400c34a","2026-01-29 19:06","JovanStefanovic87","Camera fix success"
"9885048","2026-01-28 20:54","JovanStefanovic87","Upgrade Kotlin and dependencies"
"6d964e3","2026-01-27 20:15","DESKTOP-4N736AQ\soxda","Merge branch 'develop' of https://github.com/JovanStefanovic87/aircondition_app-native into develop"
"dd55d32","2026-01-27 20:15","DESKTOP-4N736AQ\soxda","Database backup function created and its working by saving current database to S3."
"08b7254","2026-01-27 12:15","JovanStefanovic87","Images multiselect for device"
"0b30196","2026-01-27 11:50","JovanStefanovic87","DropdownButton text fix"
"9443d52","2026-01-27 11:40","JovanStefanovic87","RN camera tourch"
"2f0eeaf","2026-01-26 15:06","JovanStefanovic87","Merge branch 'develop' of https://github.com/JovanStefanovic87/aircondition_app-native into develop"
"058beab","2026-01-26 15:03","JovanStefanovic87","InspectionDeviceElements/DeviceElements - max 6 elements per screen width"
"2220df3","2026-01-25 14:46","DESKTOP-4N736AQ\soxda","Fixing SQL to work on older androids"
"76eba2f","2026-01-25 13:32","JovanStefanovic87","BarcodeScanner fast scan fix / PrimaryButton text fix / ElementStateScreen image condition"
"251b9a4","2026-01-13 21:42","DESKTOP-4N736AQ\soxda","Fixing taking picture, and saving to device gallery instead of cache like before."
"9ab68d0","2026-01-11 21:56","DESKTOP-4N736AQ\soxda","Adding barcode scanner to 'MIKROBIOLOGISCH'  and  'LUFTKEIMZAHLMESSUNG' in fourth step."
"a057a88","2026-01-11 16:54","DESKTOP-4N736AQ\soxda","Adding barcode scanner to Microbilology"
"bf5051c","2025-12-21 17:46","DESKTOP-4N736AQ\soxda","Adding image resizer. Translation fix."
"791bd6f","2025-12-06 14:18","DESKTOP-4N736AQ\soxda","Merge branch 'develop' of https://github.com/JovanStefanovic87/aircondition_app-native into develop"
"85520cc","2025-12-06 14:18","DESKTOP-4N736AQ\soxda","Adding general inspection states to PDF report creation."
"9b177c8","2025-10-23 12:08","JovanStefanovic87","refactor: izdvojen sadržaj QuestionsScreen u posebne komponente i ispravljen airVolume bug"
"de9eaaa","2025-10-22 17:04","JovanStefanovic87","glonal loaders and error handling"
"4afcf40","2025-10-19 17:04","DESKTOP-4N736AQ\soxda","Adding function that will delete database on fresh app install. Fixing images URL construct."
"8fcdb22","2025-10-18 19:08","DESKTOP-4N736AQ\soxda","Const changed to hit Server"
"aeaab34","2025-10-18 16:03","DESKTOP-4N736AQ\soxda","Fixing S3 image upload"
"172f24f","2025-10-14 11:57","JovanStefanovic87","Merge branch 'instruction-modal' into develop"
"74106fb","2025-10-13 22:17","DESKTOP-4N736AQ\soxda","Fixed M and L values to send barcode as well"
"c8e479b","2025-10-12 16:37","DESKTOP-4N736AQ\soxda","Added general inspection images and state images into PDF report dataset. Removed company data, because its will be hardcoded into JSreport template."
"d9b6287","2025-10-11 16:22","DESKTOP-4N736AQ\soxda","Refactored PdfViewer to get cleaner code."
"a078bc2","2025-10-11 16:08","DESKTOP-4N736AQ\soxda","Showing MIKROBIOLOGISCH and LUFTKEIMZAHLMESSUNG in PDF for element states"
"2cb559f","2025-10-05 12:11","DESKTOP-4N736AQ\soxda","Created function to get data and images needed for JSReport for Step 4 data."
"b37e4fa","2025-10-03 12:20","JovanStefanovic87","Add image upload, gallery display and delete support for inspection elements"
"0e03fcb","2025-10-02 14:41","JovanStefanovic87","fix(navigation): redirect back button from AllInspectionsScreen to NavScreen"
"ce7a072","2025-10-02 13:03","JovanStefanovic87","merge"
"b8e2dc5","2025-10-02 13:00","JovanStefanovic87","Merge branch 'develop' into instruction-modal"
"d1d765d","2025-10-02 12:41","JovanStefanovic87","feat: add instruction modal for element state screen feat(elements-state): implement styled instruction modal style: improve instruction modal design refactor: extract instruction modal into reusable component"
"f6980ee","2025-10-01 20:22","DESKTOP-4N736AQ\soxda","Added logic for dealing with the measurements of type M and L"
"498dcbe","2025-09-30 22:41","DESKTOP-4N736AQ\soxda","Created function to save all inspection images to S3 bucket"
"bfeb9b2","2025-09-30 22:02","DESKTOP-4N736AQ\soxda","Funkcija za vadjenje svih slika za jednu inspekciju"
"3723003","2025-09-30 21:23","DESKTOP-4N736AQ\soxda","Merge branch 'feature/fixing-image-saving' into develop"
"05300ac","2025-09-30 21:22","DESKTOP-4N736AQ\soxda","Added function getInspectionElementImages"
"b5c8cc1","2025-09-29 21:54","DESKTOP-4N736AQ\soxda","Fixing all images saving on steps 2 and 4"
"97e0038","2025-09-23 16:59","JovanStefanovic87","Emotiocons fix"
